Stadium,Capacity,City,Country,active
Parc des Sports Marcel Michelin,"18,030",Clermont-Ferrand,France,TRUE
Totally Wicked Stadium,"18,000",St Helens,England,TRUE
Ballymore Stadium,"18,000",Brisbane,Australia,TRUE
Churchill Park,"18,000",Lautoka,Fiji,TRUE
ABSA Park,"18,000",Kimberley,South Africa,TRUE
AMI Stadium,"18,000",Christchurch,New Zealand,TRUE
Arena Manawatu,"18,000",Palmerston North,New Zealand,TRUE
Estadio G.E.B.A.,"18,000",Buenos Aires,Argentina,TRUE
Stade Aimé Giral,"17,500",Perpignan,France,TRUE
Rugby Park Stadium,"17,000",Invercargill,New Zealand,TRUE
Stade Jean Dauger,"17,000",Bayonne,France,TRUE
Yamaha Stadium,"16,879",Iwata,Japan,TRUE
Kingsholm Stadium,"16,500",Gloucester,England,TRUE
Trafalgar Park,"16,000",Nelson,New Zealand,TRUE
Danie Craven Stadium,"16,000",Stellenbosch,South Africa,TRUE
Stade Mayol,"15,700",Toulon,France,TRUE
Franklin's Gardens,"15,500",Northampton,England,TRUE
Bilino Polje,"15,000",Zenica,Bosnia and Herzegovina,TRUE
Parc des Sports Aguiléra,"15,000",Biarritz,France,TRUE
Stade d'Albert Domec,"15,000",Carcassonne,France,TRUE
Stade Amédée-Domenech,"15,000",Brive-la-Gaillarde,France,TRUE
Stade Maurice Boyau,"15,000",Dax,France,TRUE
Mizuho Rugby Stadium,"15,000",Nagoya City,Japan,TRUE
Apia Park,"15,000",Apia,Samoa,TRUE
Stade Makis,"15,000",Antananarivo,Madagascar,TRUE
Parc y Scarlets,"14,870",Llanelli,Wales,TRUE
Twickenham Stoop,"14,816",London,England,TRUE
Altrad Stadium,"14,700",Montpellier,France,TRUE
Stade Georges Pompidou,"14,380",Valence,France,TRUE
Stadio Giglio,"14,138",Reggio Emilia,Italy,TRUE
Stade Armandie,"14,000",Agen,France,TRUE
Estadio Charrúa,"14,000",Montevideo,Uruguay,TRUE
Stade Olympique Yves-du-Manoir,"14,000",Colombes,France,TRUE
Stade du Hameau,"13,966",Pau,France,TRUE
Recreation Ground,"13,500",Bath,England,TRUE
Stadium Municipal d'Albi,"13,058",Albi,France,TRUE
Stade Sapiac,"12,600",Montauban,France,TRUE
BT Sport Cardiff Arms Park,"12,500",Cardiff,Wales,TRUE
Stade Marcel-Deflandre,"12,500",La Rochelle,France,TRUE
Sandy Park,"12,300",Exeter,England,TRUE
Estadio Nacional Complutense,"12,400",Madrid,Spain,TRUE
Sixways,"12,024",Worcester,England,TRUE
Velodromo Paolo Borsellino,"12,000",Palermo,Italy,TRUE
AJ Bell Stadium,"12,000",Salford,England,TRUE
Alpine Energy Stadium,"12,000",Timaru,New Zealand,TRUE
Brewery Field,"12,000",Bridgend,Wales,TRUE
Arturo Collana Stadium,"12,000",Naples,Italy,TRUE
Parc des Sports Et de l'Amitié,"12,000",Narbonne,France,TRUE
Sunshine Coast Stadium,"12,000",Kawana Waters,Australia,TRUE
Stade Lesdiguières,"11,900",Grenoble,France,TRUE
Rodney Parade,"11,676","Newport, Wales",Wales,TRUE
Stade Pierre-Antoine,"11,500",Castres,France,TRUE
Bonney Field,"11,442",Sacramento,United States,TRUE
Stade Michel Bendichou,"11,430",Colomiers,France,TRUE
Stade Gabriel Montpied,"10,607",Clermont-Ferrand,France,TRUE
Kingston Park,"10,200",Newcastle,England,TRUE
Arena Civica,"10,200",Milan,Italy,TRUE
Allianz Park,"10,000",London,England,TRUE
Dubarry Park,"10,000",Athlone,Ireland,TRUE
NRCA Stadium,"10,000",Amsterdam,Netherlands,TRUE
Outeniqua Park,"10,000",George,South Africa,TRUE
Tommaso Fattori Stadium,"10,000",L'Aquila,Italy,TRUE
Pittwater Park,"10,000",Warriewood,Australia,TRUE
Stade d'Albert Domec,"10,000",Carcassonne,France,TRUE
Stade André Moga,"10,000",Bègles,France,TRUE
Stade Pierre Rajon,"10,000",Bourgoin-Jallieu,France,TRUE
Plebiscito Stadium,"10,000",Padua,Italy,TRUE
Truman Bodden Stadium,"10,000",George Town,Cayman Islands,TRUE
Viking Park,"10,000",Canberra,Australia,TRUE
